date,weekday_num,temp,slp,wdsp,collisions
2014-04-08,2,47.7,1003.5,14.7,492.0
2014-04-09,3,46.8,1002.5,10.0,403.0
2014-04-10,4,41.6,1019.5,8.8,345.0
2014-04-11,5,48.0,1017.8,13.4,273.0
2014-04-12,6,50.1,1019.1,8.6,301.0
2014-04-13,0,47.0,1023.8,8.8,390.0
2014-04-14,1,52.2,1019.3,14.4,404.0
2014-04-15,2,52.6,1013.3,16.0,364.0
2014-04-16,3,42.9,1021.9,19.2,448.0
2014-04-17,4,37.5,1037.9,15.2,396.0
2014-04-18,5,40.4,1032.7,9.1,285.0
2014-04-19,6,45.7,1023.5,5.9,420.0
2014-04-20,0,44.2,1030.4,9.2,0.0
2014-04-21,1,43.1,1022.3,6.2,407.0
2014-04-22,2,49.5,1007.7,5.6,263.0
2014-04-23,3,49.5,998.0,8.6,395.0
2014-04-24,4,49.6,1002.9,19.1,324.0
2014-04-25,5,49.0,1013.4,10.5,493.0
2014-04-26,6,44.9,1009.1,12.2,448.0
2014-04-27,0,42.4,1012.5,4.8,347.0
2014-04-28,1,46.5,1016.1,13.7,322.0
2014-04-29,2,44.2,1028.1,16.5,299.0
2014-04-30,3,43.5,1030.7,12.3,384.0
2014-05-01,4,50.3,1016.6,13.3,264.0
2014-05-02,5,51.9,1006.4,10.2,294.0
2014-05-03,6,50.9,1010.3,6.4,463.0
2014-05-04,0,51.4,1005.1,12.8,254.0
2014-05-05,1,53.7,1005.8,10.2,503.0
2014-05-06,2,52.2,1011.1,5.7,441.0
2014-05-07,3,51.6,1019.8,6.8,479.0
2014-05-08,4,52.0,1022.3,7.5,472.0
2014-05-09,5,51.5,1022.6,6.7,462.0
2014-05-10,6,54.8,1015.2,11.1,334.0
2014-05-11,0,58.3,1013.2,12.6,457.0
2014-05-12,1,57.8,1018.5,9.1,472.0
2014-05-13,2,51.8,1022.0,14.1,377.0
2014-05-14,3,51.2,1026.5,9.8,350.0
2014-05-15,4,57.8,1026.0,9.6,520.0
2014-05-16,5,58.3,1021.6,11.8,388.0
2014-05-17,6,57.7,1016.0,12.5,480.0
2014-05-18,0,56.5,1017.6,8.5,296.0
2014-05-19,1,56.9,1016.9,9.0,471.0
2014-05-20,2,56.4,1015.4,10.4,337.0
2014-05-21,3,56.3,1014.9,6.0,441.0
2014-05-22,4,50.3,1013.1,6.0,422.0
2014-05-23,5,54.9,1012.4,7.3,516.0
2014-05-24,6,54.6,1014.2,15.0,283.0
2014-05-25,0,53.7,1018.2,5.4,305.0
2014-05-26,1,56.7,1015.3,10.3,179.0
2014-05-27,2,61.1,1011.0,10.0,492.0
2014-05-28,3,51.1,1012.8,15.2,438.0
2014-05-29,4,52.0,1021.9,11.2,375.0
2014-05-30,5,49.7,1019.4,5.7,454.0
2014-05-31,6,53.9,1019.1,12.4,477.0
2014-06-01,0,58.4,1024.8,11.0,466.0
2014-06-02,1,57.4,1022.9,6.8,515.0
2014-06-03,2,58.2,1016.6,8.8,538.0
2014-06-04,3,55.2,1011.4,8.3,332.0
2014-06-05,4,60.0,1006.3,7.1,464.0
2014-06-06,5,61.3,1007.8,10.0,401.0
