date,temp,slp,wdsp,gust,BRONX,BROOKLYN,MANHATTAN,QUEENS,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2013-04-26,49.5,1026.9,6.5,,,,,0.9473684210526315,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-04-27,46.6,1029.1,3.9,,0.0,0.03571428571428571,0.38461538461538464,0.6578947368421053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-04-28,48.0,1027.1,3.9,,,0.16071428571428573,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-04-29,49.7,1025.5,4.3,,0.5416666666666666,0.9107142857142857,0.5384615384615384,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-04-30,51.0,1026.2,5.2,,0.16666666666666666,0.8928571428571429,0.9230769230769231,0.4473684210526316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-05-01,49.9,1030.2,7.0,,0.2702702702702703,0.5147058823529411,0.4107142857142857,0.27419354838709675,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2013-05-02,49.9,1030.3,5.0,20.0,0.3783783783783784,0.45588235294117646,0.32142857142857145,0.41935483870967744,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2013-05-03,46.9,1030.0,13.7,29.9,0.5945945945945946,0.7352941176470589,0.6071428571428571,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2013-05-04,47.8,1026.5,13.7,31.1,0.05405405405405406,0.47058823529411764,0.8392857142857143,0.22580645161290322,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2013-05-05,47.8,1025.3,10.1,20.0,0.0,0.19117647058823528,0.16071428571428573,0.3548387096774194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2013-05-06,49.2,1024.3,5.5,,0.32432432432432434,0.3235294117647059,0.3392857142857143,0.3548387096774194,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2013-05-07,54.4,1021.9,4.5,,0.4864864864864865,0.6911764705882353,0.375,0.16129032258064516,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2013-05-08,59.4,1021.5,10.5,22.0,,0.9705882352941176,0.8928571428571429,0.4032258064516129,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2013-05-09,57.2,1015.2,6.2,,0.08108108108108109,0.75,0.5892857142857143,0.2903225806451613,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2013-05-10,56.1,1014.8,8.3,,0.8378378378378378,,0.8214285714285714,0.4838709677419355,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2013-05-11,56.2,1013.1,9.4,22.9,0.21621621621621623,0.11764705882352941,0.375,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2013-05-12,56.2,1005.6,11.0,22.9,0.13513513513513514,0.2647058823529412,0.0,0.45161290322580644,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2013-05-13,53.1,1013.5,11.9,22.0,0.4594594594594595,0.45588235294117646,0.23214285714285715,0.3548387096774194,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2013-05-14,51.0,1015.8,11.8,29.9,,0.08823529411764706,0.44642857142857145,0.6612903225806451,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2013-05-15,53.1,1016.5,12.1,28.0,0.13513513513513514,,0.08928571428571429,0.45161290322580644,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2013-05-16,57.7,1006.9,12.5,28.0,0.6756756756756757,0.0,0.5,0.4032258064516129,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2013-05-17,58.2,1013.8,10.7,22.9,,0.9117647058823529,,0.8870967741935484,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2013-05-18,54.6,1025.3,5.1,,0.3783783783783784,0.1323529411764706,0.26785714285714285,0.16129032258064516,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2013-05-19,56.3,1027.4,6.6,,0.2972972972972973,0.35294117647058826,0.23214285714285715,0.20967741935483872,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2013-05-20,57.5,1020.4,10.3,22.0,0.2702702702702703,0.8676470588235294,0.8571428571428571,0.6774193548387096,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2013-05-21,58.0,1014.3,7.8,,0.13513513513513514,1.0,0.8214285714285714,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2013-05-22,57.8,1013.8,7.1,17.1,0.4864864864864865,0.3382352941176471,0.5892857142857143,0.016129032258064516,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2013-05-23,61.5,1015.1,13.3,24.1,0.4594594594594595,0.9558823529411765,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2013-05-24,61.0,1009.8,14.0,39.0,0.35135135135135137,0.7205882352941176,0.9107142857142857,0.5161290322580645,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2013-05-25,55.6,1005.9,7.6,18.1,0.5135135135135135,,0.125,0.3225806451612903,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2013-05-26,50.2,1010.9,13.9,28.0,,0.014705882352941176,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2013-05-27,56.9,1020.0,14.1,26.0,0.05405405405405406,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2013-05-28,56.6,1023.2,6.4,,1.0,0.6323529411764706,0.5,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2013-05-29,57.9,1021.0,10.9,26.0,0.1891891891891892,0.38235294117647056,0.625,0.41935483870967744,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2013-05-30,60.9,1018.8,11.6,20.0,0.43243243243243246,0.9705882352941176,0.8035714285714286,0.7096774193548387,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
